Ранг;Уровень;По-английски;По-французский;Инфинитив;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;ТЫ;ОН/ОНА/ОНО;МЫ;ВЫ;ОНИ;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
0;C1;braid, plait;tresser, natter;заплести;;;;;совер.;заплетать/заплести;not reflexive;not movement;заплету;заплетёшь;заплетёт;заплетёте;заплетём;заплетут;заплети;заплетите;;*заплетя, *заплётши;;заплётший;;
8341;C1;rig (out, up);gréer;оснащать;;;;;несовер.;оснащать/оснастить;not reflexive;not movement;оснащаю;оснащаешь;оснащает;оснащаете;оснащаем;оснащают;оснащай;оснащайте;оснащая;оснащав;оснащающий;оснащавший;оснащаемый;
0;C1;rig (out, up);gréer;оснастить;;;;;perfective aspect unset;оснастить/оснащать;not reflexive;movement aspect unset;;;;;;;;;;;;;;
8342;C1;beg, cadge;quémander, mendier;попрошайничать;разг.;;;;несовер.;;not reflexive;movement;попрошайничаю;попрошайничаешь;попрошайничает;попрошайничаете;попрошайничаем;попрошайничают;попрошайничай;попрошайничайте;попрошайничая;попрошайничав;попрошайничающий;попрошайничавший;попрошайничающий;попрошайничавший
8343;C1;intend (for), destine (for / to);destiner à, prédestiner à;предназначать;;;;;несовер.;предназначать/предназначить;not reflexive;not movement;предназначаю;предназначаешь;предназначает;предназначаете;предназначаем;предназначают;предназначай;предназначайте;предназначая;предназначав;предназначающий;предназначавший;предназначаемый;
0;C1;intend (for), destine (for / to);destiner à, prédestiner à;предназначить;;;;;совер.;предназначать/предназначить;not reflexive;not movement;предназначу;предназначишь;предназначит;предназначите;предназначим;предназначат;предназначь;предназначьте;;предназначив, *предназначивши;;предназначивший;;предназначенный
8344;C1;scoop, dip;puiser;зачерпывать;;;;;несовер.;зачерпывать/зачерпнуть;not reflexive;not movement;зачерпываю;зачерпываешь;зачерпывает;зачерпываете;зачерпываем;зачерпывают;зачерпывай;зачерпывайте;зачерпывая;зачерпывав;зачерпывающий;зачерпывавший;зачерпываемый;
0;C1;scoop, dip;puiser;зачерпнуть;;;;;совер.;зачерпывать/зачерпнуть;not reflexive;not movement;зачерпну;зачерпнёшь;зачерпнёт;зачерпнёте;зачерпнём;зачерпнут;зачерпни;зачерпните;;зачерпнув, *зачерпнувши;;зачерпнувший;;зачерпнутый
8345;C1;create, do;créer, faire;сотворять;;;;;perfective aspect unset;сотворять/сотворить;not reflexive;not movement;сотворяю;сотворяешь;сотворяет;сотворяете;сотворяем;сотворяют;сотворяй;сотворяйте;сотворяя;сотворявши;сотворяющий;сотворявший;сотворяемый;
0;C1;create, do;créer, faire;сотворить;;;;;совер.;сотворять/сотворить;not reflexive;not movement;сотворю;сотворишь;сотворит;сотворите;сотворим;сотворят;сотвори;сотворите;;сотворив, *сотворивши;;сотворивший;;сотворённый
8349;C1;legalize, legitimate;légaliser;узаконивать;;;;;несовер.;узаконивать/узаконить;not reflexive;not movement;узакониваю;узакониваешь;узаконивает;узакониваете;узакониваем;узаконивают;узаконивай;узаконивайте;узаконивая;узаконивав;узаконивающий;узаконивавший;узакониваемый;
0;C1;legalize, legitimate;légitimer, légaliser;узаконить;;;;;совер.;узаконивать/узаконить;not reflexive;not movement;узаконю;узаконишь;узаконит;узаконите;узаконим;узаконят;узаконь;узаконьте;;узаконив, *узаконивши;;узаконивший;;узаконенный
8351;C1;visa, vise;viser, mettre, apposer un visa;визировать;;;;;не/совер.;;not reflexive;not movement;визирую;визируешь;визирует;визируете;визируем;визируют;визируй;визируйте;визируя;визировав;визирующий;визировавший;визируемый;визированный
8352;C1;get customs clearance for;dédouaner;растаможить;;;;;совер.;растаможивать/растаможить;not reflexive;not movement;растаможу;растаможишь;растаможит;растаможите;растаможим;растаможат;растаможь;растаможьте;;растаможив;;растаможивший;;растаможенный
0;C1;get customs clearance for;dédouaner;растаможивать;;;;;perfective aspect unset;растаможивать/растаможить;not reflexive;not movement;растаможиваю, растамаживаю;растаможиваешь, растамаживаешь;растаможивает, растамаживает;растаможиваете, растамаживаете;растаможиваем, растамаживаем;растаможивают, растамаживают;растаможивай, растамаживай;растаможивайте, растамаживайте;растаможивая, растамаживая;растаможивав, растамаживав, *растаможивавши, *растамаживавши;растаможивающий, растамаживающий;растаможивавший, растамаживавший;растамаживаемый;
8399;C2;undertake;prendre, mettre la main sur;взяться;;;;;совер.;браться/взяться;reflexive;not movement;возьмусь;возьмёшься;возьмётся;возьмётесь;возьмёмся;возьмутся;возьмись;возьмитесь;;взявшись;;взявшийся;;
8407;C2;order, tell;ordonner de, dire de;велеть;;;;;не/совер.;;not reflexive;movement;велю;велишь;велит;велите;велим;велят;вели;велите;веля;велев;велящий;велевший;велящий;велевший
8426;C2;fight, struggle (with);se battre;биться;;;;;несовер.;биться/побить;reflexive;not movement;бьюсь;бьёшься;бьётся;бьётесь;бьёмся;бьются;бейся;бейтесь;;бившись;бьющийся;бившийся;бьющийся;бившийся
0;C2;beat down, lay (down);battre;побить;;;;;совер.;биться/побить;not reflexive;not movement;побью;побьёшь;побьёт;побьёте;побьём;побьют;побей;побейте;;побив, *побивши;;побивший;;побитый
8435;C2;let oneself, allow oneself;se laisser;даваться;;;;;несовер.;даваться/даться;reflexive;not movement;;;;;;;давайся;давайтесь;даваясь;дававшись;дающийся;дававшийся;дающийся;дававшийся
0;C2;let oneself, allow oneself;se laisser;даться;;;;;совер.;даваться/даться;reflexive;not movement;дамся;дашься;дастся;дадитесь;дадимся;дадутся;дайся;дайтесь;;давшись;;давшийся;;
8445;C2;dare, make bold / free;oser, avoir l'audace de;сметь;;;;;несовер.;сметь/посметь;not reflexive;movement;смею;смеешь;смеет;смеете;смеем;смеют;смей;смейте;смея;смев;смеющий;смевший;смеющий;смевший
0;C2;dare, make bold / free;oser, hasarder;посметь;;;;;совер.;сметь/посметь;not reflexive;movement;посмею;посмеешь;посмеет;посмеете;посмеем;посмеют;посмей;посмейте;;посмев, *посмевши;;посмевший;;
8448;C2;drive, turn out;chasser, poursuivre;гнать;;;;;несовер.;;not reflexive;not movement;гоню;гонишь;гонит;гоните;гоним;гонят;гони;гоните;гоня;гнав;гонящий;гнавший;гонимый;
8454;C2;stand (for a while);rester debout (quelque temps);постоять;;;;;совер.;стоять/постоять;not reflexive;movement;постою;постоишь;постоит;постоите;постоим;постоят;постой;постойте;;постояв;;постоявший;;
8455;C2;assure (of), make believe (that);assurer convaincre de, protester devant auprès de;уверять;;;;;несовер.;уверять/уверить;not reflexive;not movement;уверяю;уверяешь;уверяет;уверяете;уверяем;уверяют;уверяй;уверяйте;уверяя;уверяв;уверяющий;уверявший;уверяемый;
0;C2;assure (of), make believe (that);persuader, faire accroire à que...;уверить;;;;;совер.;уверять/уверить;not reflexive;not movement;уверю;уверишь;уверит;уверите;уверим;уверят;уверь;уверьте;;уверив, *уверивши;;уверивший;;уверенный
8456;C2;stay, be;être, se trouver;пребывать;;;;;несовер.;пребывать/пребыть;not reflexive;movement;пребываю;пребываешь;пребывает;пребываете;пребываем;пребывают;пребывай;пребывайте;пребывая;пребывав;пребывающий;пребывавший;пребывающий;пребывавший
0;C2;to be, to stay;;пребыть;;;;;совер.;пребывать/пребыть;not reflexive;movement;пребуду;пребудешь;пребудет;пребудете;пребудем;пребудут;пребудь;пребудьте;;пребыв, *пребывши;;пребывший;;
8464;C2;pass, leave out / aside;passer;миновать;;;;;не/совер.;;not reflexive;not movement;миную;минуешь;минует;минуете;минуем;минуют;минуй;минуйте;;миновав;;миновавший;;
8466;C2;carry;porter;понести;;;;;совер.;носить/понести;not reflexive;not movement;понесу;понесёшь;понесёт;понесёте;понесём;понесут;понеси;понесите;;понёсши;;понёсший;;понесённый
8467;C2;be caught, get;être pris;попадаться;;;;;несовер.;попадаться/попасться;reflexive;movement;попадаюсь;попадаешься;попадается;попадаетесь;попадаемся;попадаются;попадайся;попадайтесь;ся;попадав;;попадавшийся;;
0;C2;be caught, get;être pris;попасться;;;;;совер.;попадаться/попасться;reflexive;movement;попадусь;попадёшься;попадётся;попадётесь;попадёмся;попадутся;попадись;попадитесь;пось;попав, *павшись;;попавшийся;;
8468;C2;be / look like, resemble;ressembler (à);походить;;;;;совер.;ходить/походить;not reflexive;movement;похожу;походишь;походит;походите;походим;походят;походи;походите;походя;походив;походящий;походивший;походящий;походивший
8472;C2;(re)sound, be heard;retentir;раздаваться;;;;;несовер.;раздаваться/раздаться;reflexive;not movement;раздаюсь;раздаёшься;раздаётся;раздаётесь;раздаёмся;раздаются;;;;;раздающийся;раздававшийся;раздающийся;раздававшийся
0;C2;(re)sound, be heard;retentir;раздаться;;;;;совер.;раздаваться/раздаться;reflexive;not movement;раздамся;раздашься;раздастся;раздадитесь;раздадимся;раздадутся;раздайся;раздайтесь;ся;раздав, *раздавшись;;раздавшийся;;розданный, *разданныйся
8477;C2;do;faire;поделать;;;;;совер.;;not reflexive;not movement;поделаю;поделаешь;поделает;поделаете;поделаем;поделают;поделай;поделайте;;поделав;;поделавший;;
8489;C2;spare, give;donner, accorder;уделять;;;;;несовер.;уделять/уделить;not reflexive;not movement;уделяю;уделяешь;уделяет;уделяете;уделяем;уделяют;уделяй;уделяйте;уделяя;уделяв;уделяющий;уделявший;уделяемый;
0;C2;spare, give;donner, accorder;уделить;;;;;совер.;уделять/уделить;not reflexive;not movement;уделю;уделишь;уделит;уделите;уделим;уделят;удели;уделите;;уделив, *уделивши;;уделивший;;уделённый
8490;C2;take (along), bring;reconduire;разводить;;;;;несовер.;разводить/развести;not reflexive;not movement;развожу;разводишь;разводит;разводите;разводим;разводят;разводи;разводите;разводя;разводив;разводящий;разводивший;;
0;C2;take (along), bring;reconduire;развести;;;;;совер.;разводить/развести;not reflexive;not movement;разведу;разведёшь;разведёт;разведёте;разведём;разведут;разведи;разведите;;разведя, *развёдши;;развёдший;;разведённый
8497;C2;be, stand;se trouver (situation);обстоять;;;;;несовер.;;not reflexive;movement;обстою;обстоишь;обстоит;обстоите;обстоим;обстоят;;;обстоя;обстояв;обстоящий;обстоявший;обстоящий;обстоявший
8519;C2;go away, disperse;s'en aller, s'éloigner;разойтись;;;;;совер.;расходиться/разойтись;reflexive;movement aspect unset;;;;;;;;;;;;;;
8527;C2;happen, go on;se faire, se passer;твориться;;;;;несовер.;твориться/сотвориться;reflexive;not movement;творюсь;творишься;творится;творитесь;творимся;творятся;творись;творитесь;творясь;творившись;творящийся;творившийся;творящийся;творившийся
0;C2;create, do;créer, faire;сотвориться;;;;;совер.;твориться/сотвориться;reflexive;not movement;сотворюсь;сотворишься;сотворится;сотворитесь;сотворимся;сотворятся;сотворись;сотворитесь;;сотворившись, сотворясь;;сотворившийся;;
8536;C2;thirst (for, after);avoir soif de, avoir soif;жаждать;;;;;несовер.;;not reflexive;movement;жажду;жаждешь;жаждет;жаждете;жаждем;жаждут;жажди;жаждите;жаждая;жаждав;жаждущий;жаждавший;;
8543;C2;tell;dire, raconter;поведать;;;;;совер.;поведывать/поведать;not reflexive;not movement;поведаю;поведаешь;поведает;поведаете;поведаем;поведают;поведай;поведайте;;поведав;;поведавший;;поведанный
0;C2;tell;dire, raconter;поведывать;;;;;perfective aspect unset;поведывать/поведать;not reflexive;not movement;поведываю;поведываешь;поведывает;поведываете;поведываем;поведывают;поведывай;поведывайте;поведывая;поведывав, *поведывавши;поведывающий;поведывавший;поведываемый;
8549;C2;step, tread;marcher;ступать;;;;;несовер.;ступать/ступить;not reflexive;movement;ступаю;ступаешь;ступает;ступаете;ступаем;ступают;ступай;ступайте;ступая;ступав;ступающий;ступавший;ступающий;ступавший
0;C2;step, tread;marcher;ступить;;;;;совер.;ступать/ступить;not reflexive;movement;ступлю;ступишь;ступит;ступите;ступим;ступят;ступи;ступите;;ступив, *ступивши;;ступивший;;
8556;C2;say, read;annoncer;гласить;;;;;несовер.;;not reflexive;movement;глашу;гласишь;гласит;гласите;гласим;гласят;гласи;гласите;глася;гласив;гласящий;гласивший;;
8558;C2;cast a glance (at);jeter des regards sur, sur;поглядывать;;;;;несовер.;;not reflexive;movement;поглядываю;поглядываешь;поглядывает;поглядываете;поглядываем;поглядывают;поглядывай;поглядывайте;поглядывая;поглядывав;поглядывающий;поглядывавший;поглядывающий;поглядывавший
8560;C2;tell (on / upon);se donner pour, se faire passer pour;сказываться;;;;;несовер.;сказываться/сказаться;reflexive;not movement;;;сказывается;;;сказываются;;;;;сказывающийся;сказывавшийся;сказывающийся;сказывавшийся
0;C2;tell (on / upon);se donner pour, se faire passer pour;сказаться;;;;;совер.;сказываться/сказаться;reflexive;not movement;скажусь;скажешься;скажется;скажетесь;скажемся;скажутся;скажись;скажитесь;ся;сказав, *сказавшись;;сказавшийся;;сказанныйся
8576;C2;carry, drag;porter, traîner;таскать;;;;;несовер.;таскать/вытаскать;not reflexive;not movement;таскаю;таскаешь;таскает;таскаете;таскаем;таскают;таскай;таскайте;таская;таскав;таскающий;таскавший;таскаемый;тасканный
0;C2;pull out;;вытаскать;;;;;совер.;таскать/вытаскать;not reflexive;not movement;вытаскаю;вытаскаешь;вытаскает;вытаскаете;вытаскаем;вытаскают;вытаскай;вытаскайте;;вытаскав, *вытаскавши;;вытаскавший;;вытасканный
8581;C2;appear, be seen;se voir, voir on;виднеться;;;;;несовер.;;reflexive;not movement;виднеюсь;виднеешься;виднеется;виднеетесь;виднеемся;виднеются;виднейся;виднейтесь;виднеясь;видневшись;виднеющийся;видневшийся;виднеющийся;видневшийся
8584;C2;grant (to), bestow;conférer à, faire cadeau de à;пожаловать;;;;;совер.;жаловать/пожаловать;not reflexive;not movement;пожалую;пожалуешь;пожалует;пожалуете;пожалуем;пожалуют;пожалуй;пожалуйте;;пожаловав;;пожаловавший;;
0;C2;grant (to), bestow;octroyer à, gratifier;жаловать;;;;;несовер.;жаловать/пожаловать;not reflexive;not movement;жалую;жалуешь;жалует;жалуете;жалуем;жалуют;жалуй;жалуйте;жалуя;жаловав, *жаловавши;жалующий;жаловавший;жалуемый;-
8586;C2;nourish, feed;nourrir;питать;;;;;несовер.;питать/напитать;not reflexive;not movement;питаю;питаешь;питает;питаете;питаем;питают;питай;питайте;питая;питав;питающий;питавший;питаемый;питанный
0;C2;nourish, feed;donner à manger à, rassasier;напитать;;;;;совер.;питать/напитать;not reflexive;not movement;напитаю;напитаешь;напитает;напитаете;напитаем;напитают;напитай;напитайте;;напитав, *напитавши;;напитавший;;напитанный
8590;C2;drag, pull;entraîner, attirer;влечь;;;;;несовер.;;not reflexive;not movement;влеку;влечёшь;влечёт;влечёте;влечём;влекут;влеки;влеките;;влекши, влёкши;влекущий;влекший, влёкший;;влечённый
8598;C2;romp, play;s'ébattre, faire du bruit;возиться;;;;;несовер.;возиться/повозиться;reflexive;not movement;вожусь;возишься;возится;возитесь;возимся;возятся;возись;возитесь;возясь;возившись;возящийся;возившийся;возящийся;возившийся
0;C2;romp, play;s'ébattre, faire du bruit;повозиться;;;;;совер.;возиться/повозиться;reflexive;not movement;повожусь;повозишься;повозится;повозитесь;повозимся;повозятся;повозись;повозитесь;;повозившись, повозясь;;повозившийся;;
8600;C2;sat / repeat over and over again, reiterate;répéter;твердить;;;;;несовер.;;not reflexive;not movement;твержу;твердишь;твердит;твердите;твердим;твердят;тверди;твердите;твердя;твердив;твердящий;твердивший;;тверженный
8613;C2;toss, rush about;s'agiter, se démener;метаться;;;;;несовер.;метаться/метнуть;reflexive;not movement;мечусь;мечешься;мечется;мечетесь;мечемся;мечутся;мечись;мечитесь;мечась;метавшись;мечущийся;метавшийся;мечущийся;метавшийся
0;C2;throw, cast;lancer, jeter;метнуть;;;;;совер.;метаться/метнуть;not reflexive;not movement;метну;метнёшь;метнёт;метнёте;метнём;метнут;метни;метните;;метнув, *метнувши;;метнувший;;-
8616;C2;meet;se réunir, se rassembler;сойтись;;;;;совер.;сходиться/сойтись;reflexive;movement;сойдусь;сойдёшься;сойдётся;сойдётесь;сойдёмся;сойдутся;сойдись;сойдитесь;ся;сойдясь;;сошедший;;
8617;C2;know;administrer, diriger;ведать;;;;;несовер.;;not reflexive;not movement;ведаю;ведаешь;ведает;ведаете;ведаем;ведают;ведай;ведайте;ведая;ведав;ведающий;ведавший;ведаемый;веданный
8623;C2;hear;entendre, entendre dire;слыхать;;;;;несовер.;;not reflexive;not movement;;;;;;;;;;слыхав;;слыхавший;;
8625;C2;find, gain;trouver;обретать;;;;;несовер.;обретать/обрести;not reflexive;not movement;обретаю;обретаешь;обретает;обретаете;обретаем;обретают;обретай;обретайте;обретая;обретав;обретающий;обретавший;обретаемый;
0;C2;find, gain;trouver;обрести;;;;;совер.;обретать/обрести;not reflexive;not movement;обрету;обретёшь;обретёт;обретёте;обретём;обретут;обрети;обретите;;обретя, *обретши;;обретший;;обретённый
8631;C2;seem, appear;sembler;думаться;;;;;несовер.;думаться/подумать;reflexive;not movement;;;думается;;;;;;;;;;;
8632;C2;to drag the feet, to carry a burden;traîner (les pieds);переть;;;;;несовер.;;not reflexive;not movement;пру;прёшь;прёт;прёте;прём;прут;при;прите;;пёрши;прущий;пёрший;;
8638;C2;flow together, interflow;confluer;сливаться;;;;;несовер.;сливаться/слиться;reflexive;not movement;сливаюсь;сливаешься;сливается;сливаетесь;сливаемся;сливаются;сливайся;сливайтесь;сливаясь;сливавшись;сливающийся;сливавшийся;сливающийся;сливавшийся
0;C2;flow together, interflow;confluer;слиться;;;;;совер.;сливаться/слиться;reflexive;not movement;сольюсь;сольёшься;сольётся;сольётесь;сольёмся;сольются;слейся;слейтесь;;слившись;;слившийся;;
8640;C2;through down, bring down;faire tomber, renverser;валить;;;;;несовер.;валить/повалить;not reflexive;not movement;валю;валишь;валит;валите;валим;валят;вали;валите;валя;валив;валящий;валивший;;валенный
0;C2;through down, bring down;faire tomber, renverser;повалить;;;;;совер.;валить/повалить;not reflexive;movement;повалю;повалишь;повалит;повалите;повалим;повалят;повали;повалите;;повалив, *поваливши;;поваливший;;
8671;C2;throw down, drop;jeter (bas), précipiter;сбрасывать;;;;;несовер.;сбрасывать/сбросить;not reflexive;not movement;сбрасываю;сбрасываешь;сбрасывает;сбрасываете;сбрасываем;сбрасывают;сбрасывай;сбрасывайте;сбрасывая;сбрасывав;сбрасывающий;сбрасывавший;сбрасываемый;
0;C2;throw down, drop;jeter (bas), précipiter;сбросить;;;;;совер.;сбрасывать/сбросить;not reflexive;not movement;сброшу;сбросишь;сбросит;сбросите;сбросим;сбросят;сбрось;сбросьте;;сбросив, *сбросивши;;сбросивший;;сброшенный
8678;C2;tie (to, on);навязать I;навязывать;;;;;несовер.;навязывать/навязать;not reflexive;not movement;навязываю;навязываешь;навязывает;навязываете;навязываем;навязывают;навязывай;навязывайте;навязывая;;навязывающий;навязывавший;навязываемый;
0;C2;stick;tricoter;навязать;;;;;несовер.;навязать/навязывать;not reflexive;not movement;;;;;;;навяжи;навяжите;;навязав, *навязавши;;навязавший;;навязанный
8680;C2;obey (to), submit (to);obéir, se soumettre;повиноваться;;;;;не/совер.;;reflexive;not movement;повинуюсь;повинуешься;повинуется;повинуетесь;повинуемся;повинуются;повинуйся;повинуйтесь;повинуясь;повиновавшись;повинующийся;повиновавшийся;повинующийся;повиновавшийся
8687;C2;ache;faire mal (à, causer une douleur);ныть;;;;;несовер.;;not reflexive;movement;ною;ноешь;ноет;ноете;ноем;ноют;ной;нойте;ноя;ныв;ноющий;нывший;ноющий;нывший
8690;C2;seize, lay hold (of);saisir;схватиться;;;;;совер.;схватываться/схватиться;reflexive;not movement;схвачусь;схватишься;схватится;схватитесь;схватимся;схватятся;схватись;схватитесь;;схватившись;;схватившийся;;
0;C2;seize, lay hold (of);saisir;схватываться;;;;;несовер.;схватываться/схватиться;reflexive;not movement;схватываюсь;схватываешься;схватывается;схватываетесь;схватываемся;схватываются;схватывайся;схватывайтесь;схватываясь;схватывавшись;схватывающийся;схватывавшийся;схватывающийся;схватывавшийся
8741;C2;interpret, expound;interpréter, commenter;толковать;;;;;несовер.;толковать/истолковать;not reflexive;not movement;толкую;толкуешь;толкует;толкуете;толкуем;толкуют;толкуй;толкуйте;толкуя;толковав;толкующий;толковавший;толкуемый;
0;C2;interpret, expound;interpréter, commenter;истолковать;;;;;совер.;толковать/истолковать;not reflexive;not movement;истолкую;истолкуешь;истолкует;истолкуете;истолкуем;истолкуют;истолкуй;истолкуйте;;истолковав, *истолковавши;;истолковавший;;истолкованный
8748;C2;break / get away / loose;tomber;срываться;;;;;несовер.;срываться/сорваться;reflexive;not movement;;;срывается;;;срываются;;;;;срывающийся;срывавшийся;срывающийся;срывавшийся
0;C2;break / get away / loose;tomber;сорваться;;;;;совер.;срываться/сорваться;reflexive;not movement;сорвусь;сорвёшься, сорвешься;сорвётся, сорвется;сорвётесь, сорветесь;сорвёмся, сорвемся;сорвутся;сорвись;сорвитесь;;сорвавшись;;сорвавшийся;;
8765;C2;cry out, bawl;(hurler, jeter pousser) les hauts cris;вопить;;;;;несовер.;;not reflexive;movement;воплю;вопишь;вопит;вопите;вопим;вопят;вопи;вопите;вопя;вопив;вопящий;вопивший;вопящий;вопивший
8781;C2;break away / free / out / loose (from);s'échapper, échapper;вырываться;;;;;несовер.;вырываться/вырваться;reflexive;not movement;вырываюсь;вырываешься;вырывается;вырываетесь;вырываемся;вырываются;вырывайся;вырывайтесь;вырываясь;вырывавшись;вырывающийся;вырывавшийся;вырывающийся;вырывавшийся
0;C2;break away / free / out / loose (from);s'échapper, échapper;вырваться;;;;;совер.;вырываться/вырваться;reflexive;not movement;вырвусь;вырвешься;вырвется;вырветесь;вырвемся;вырвутся;вырвись;вырвитесь;;вырвавшись;;вырвавшийся;;
8783;C2;appear (before);comparaître;представать;;;;;несовер.;представать/предстать;not reflexive;movement;предстаю;предстаёшь;предстаёт;предстаёте;предстаём;предстают;представай;представайте;представая;представав;предстающий;представавший;предстающий;представавший
0;C2;appear (before);apparaître, comparaître;предстать;;;;;совер.;представать/предстать;not reflexive;movement;предстану;предстанешь;предстанет;предстанете;предстанем;предстанут;предстань;предстаньте;;представ, *представши;;представший;;
8784;C2;motivate, give reasons (for);motiver, exposer les motifs de;мотивировать;;;;;не/совер.;;not reflexive;not movement;мотивирую;мотивируешь;мотивирует;мотивируете;мотивируем;мотивируют;мотивируй;мотивируйте;мотивируя;мотивировав;мотивирующий;мотивировавший;мотивируемый;мотивированный
8796;C2;scrutinize, take a good look (at);scruter du regard, regarder fixement attentivement;всматриваться;;;;;несовер.;всматриваться/всмотреться;reflexive;movement aspect unset;;;;;;;;;;;;;;
0;C2;scrutinize, take a good look (at);scruter du regard, regarder fixement attentivement;всмотреться;;;;;совер.;всматриваться/всмотреться;reflexive;not movement;всмотрюсь;всмотришься;всмотрится;всмотритесь;всмотримся;всмотрятся;всмотрись;всмотритесь;всмотрясь;всмотревшись;всмотрящийся;всмотревшийся;всмотрящийся;всмотревшийся
8797;C2;have occasion (to), chance (to);оборотом;доводиться;;;;;несовер.;доводиться/довестись;reflexive;not movement;довожусь;доводишься;доводится;доводитесь;доводимся;доводятся;доводись;доводитесь;доводясь;доводившись;доводящийся;доводившийся;доводящийся;доводившийся
0;C2;have occasion (to), chance (to);оборотом;довестись;разг.;;;;совер.;доводиться/довестись;reflexive;not movement;;;;;;;;;;;;;;
8805;C2;gnaw, nibble;ronger, croquer;грызть;;;;;несовер.;;not reflexive;not movement;грызу;грызёшь;грызёт;грызёте;грызём;грызут;грызи;грызите;грызя;грызши;грызущий;грызший;;грызенный
8811;C2;discover, uncover;montrer, faire voir;выявлять;;;;;несовер.;выявлять/выявить;not reflexive;not movement;выявляю;выявляешь;выявляет;выявляете;выявляем;выявляют;выявляй;выявляйте;выявляя;выявляв;выявляющий;выявлявший;выявляемый;
0;C2;discover, uncover;montrer, faire voir;выявить;;;;;совер.;выявлять/выявить;not reflexive;not movement;выявлю;выявишь;выявит;выявите;выявим;выявят;выяви;выявите;;выявив, *выявивши;;выявивший;;выявленный
8818;C2;roar, rage;être en furie, se déchaîner;бушевать;;;;;несовер.;;not reflexive;movement;бушую;бушуешь;бушует;бушуете;бушуем;бушуют;бушуй;бушуйте;бушуя;бушевав;бушующий;бушевавший;бушующий;бушевавший
8821;C2;identify;identifier;идентифицировать;;;;;не/совер.;;not reflexive;not movement;идентифицирую;идентифицируешь;идентифицирует;идентифицируете;идентифицируем;идентифицируют;идентифицируй;идентифицируйте;идентифицируя;идентифицировав;идентифицирующий;идентифицировавший;идентифицируемый;идентифицированный
8831;C2;drive in / off;faire entrer, pousser;загонять;;;;;несовер.;загонять/загнать;not reflexive;movement;загоняю;загоняешь;загоняет;загоняете;загоняем;загоняют;загоняй;загоняйте;загоняя;загоняв;загоняющий;загонявший;загоняемый;
0;C2;drive in / off;faire entrer, pousser;загнать;;;;;совер.;загонять/загнать;not reflexive;not movement;загоню;загонишь;загонит;загоните;загоним;загонят;загони;загоните;;загнав, *загнавши;;загнавший;;загнанный
8834;C2;thrust oneself upon / on, proffer oneself (for);s'attirer, se faire inviter pour;напрашиваться;;;;;несовер.;напрашиваться/напроситься;reflexive;not movement;;;напрашивается;;;напрашиваются;;;;;напрашивающийся;напрашивавшийся;напрашивающийся;напрашивавшийся
0;C2;thrust oneself upon / on, proffer oneself (for);s'attirer, se faire inviter pour;напроситься;;;;;совер.;напрашиваться/напроситься;reflexive;not movement;напрошусь;напросишься;напросится;напроситесь;напросимся;напросятся;напросись;напроситесь;напросясь;напросив, *просившись;напросящийся;напросившийся;на*просимыйся;напрошенныйся
8835;C2;value, prize;faire cas de, attacher du prix à;дорожить;;;;;несовер.;;not reflexive;not movement;дорожу;дорожишь;дорожит;дорожите;дорожим;дорожат;дорожи;дорожите;дорожа;дорожив;дорожащий;дороживший;дорожащий;дороживший
8840;C2;erect, raise;élever, ériger;возводить;;;;;несовер.;возводить/возвести;not reflexive;not movement;возвожу;возводишь;возводит;возводите;возводим;возводят;возводи;возводите;возводя;возводив;возводящий;возводивший;возводимый;
0;C2;erect, raise;élever, ériger;возвести;;;;;совер.;возводить/возвести;not reflexive;not movement;возведу;возведёшь;возведёт;возведёте;возведём;возведут;возведи;возведите;;возведя, *возведши;;возведший;;возведённый
8843;C2;perceive, come / get to know;connaître, concevoir;познавать;;;;;несовер.;познавать/познать;not reflexive;not movement;познаю;познаёшь;познаёт;познаёте;познаём;познают;познавай;познавайте;познавая;познавав;познающий;познававший;познаваемый;
0;C2;perceive, come / get to know;connaître, concevoir;познать;;;;;совер.;познавать/познать;not reflexive;not movement;познаю;познаешь;познает;познаете;познаем;познают;познай;познайте;;познав, *познавши;;познавший;;познанный
8844;C2;draw, scoop;puiser;черпать;;;;;несовер.;черпать/черпнуть;not reflexive;not movement;черпаю;черпаешь;черпает;черпаете;черпаем;черпают;черпай;черпайте;черпая;черпав;черпающий;черпавший;черпаемый;черпанный
0;C2;draw, scoop;puiser;черпнуть;;;;;совер.;черпать/черпнуть;not reflexive;movement;черпну;черпнёшь;черпнёт;черпнёте;черпнём;черпнут;черпни;черпните;;черпнув, *черпнувши;;черпнувший;;
8849;C2;rejoice, exult;jubiler, être en liesse;ликовать;;;;;несовер.;;not reflexive;movement;ликую;ликуешь;ликует;ликуете;ликуем;ликуют;ликуй;ликуйте;ликуя;ликовав;ликующий;ликовавший;ликующий;ликовавший
8852;C2;accumulate, assemble;найти в себе;набираться;;;;;несовер.;набираться/набраться;reflexive;not movement;набираюсь;набираешься;набирается;набираетесь;набираемся;набираются;набирайся;набирайтесь;набираясь;набиравшись;набирающийся;набиравшийся;набирающийся;набиравшийся
